Name,Race,Guild,Sex,Class,Level,Join,Leave,Duration
Alfi,Draenei,Legion of Doom,2,SHAMAN,70,08/22/17 22:25:53,08/23/17 00:47:26,02:21:33
Blinkzie,BloodElf,Horde Trade Guard,3,MAGE,70,08/22/17 22:25:53,08/22/17 23:55:08,01:29:15
Bostontj,Human,N/A,2,WARLOCK,70,08/22/17 22:25:53,08/22/17 23:55:03,01:29:10
Caass,Orc,The Justice League,2,WARRIOR,70,08/22/17 22:25:53,08/23/17 00:38:40,02:12:47
Damii,Draenei,Legion of Doom,2,PALADIN,70,08/22/17 22:25:53,08/23/17 00:47:26,02:21:33
Dazly,Orc,All pass,2,SHAMAN,70,08/22/17 22:29:54,08/23/17 00:42:07,02:12:13
Donatelo,Tauren,The Justice League,2,DRUID,70,08/22/17 22:47:03,08/23/17 00:34:11,01:47:08
Dropjack,Draenei,Huge Mistake,3,SHAMAN,70,08/22/17 22:25:53,08/23/17 00:34:25,02:08:32
Fozz,Gnome,Legion of Doom,2,WARLOCK,70,08/23/17 00:13:07,08/23/17 00:46:19,00:33:12
Gahl,Tauren,The Justice League,2,DRUID,70,08/22/17 22:25:53,08/23/17 00:47:26,02:21:33
Grizzlemaw,Draenei,N/A,2,SHAMAN,70,08/22/17 22:25:53,08/22/17 22:27:59,00:02:06
Hynm,Draenei,Crash,3,PRIEST,70,08/23/17 00:01:29,08/23/17 00:38:06,00:36:37
Jondoe,Draenei,N/A,2,SHAMAN,70,08/22/17 22:52:08,08/23/17 00:35:32,01:43:24
Korogg,Orc,The Justice League,2,HUNTER,70,08/22/17 22:25:53,08/23/17 00:34:36,02:08:43
Kowlyko,Tauren,The Justice League,2,DRUID,70,08/22/17 22:25:53,08/23/17 00:47:26,02:21:33
Kuntar,Orc,The Justice League,2,HUNTER,70,08/22/17 22:25:53,08/23/17 00:38:48,02:12:55
Nostradamos,Dwarf,Legion of Doom,2,PRIEST,70,08/22/17 22:25:53,08/23/17 00:35:54,02:10:01
Palatauren,NightElf,Legion of Doom,3,WARRIOR,70,08/22/17 22:25:53,08/23/17 00:47:26,02:21:33
Quavo,Scourge,N/A,2,MAGE,70,08/22/17 22:25:53,08/22/17 22:27:54,00:02:01
Rahelm,BloodElf,Burn,3,MAGE,70,08/22/17 23:58:21,08/23/17 00:38:53,00:40:32
Shaugie,Troll,Svensk,2,MAGE,70,08/22/17 22:30:24,08/23/17 00:34:55,02:04:31
Shug,BloodElf,The Justice League,2,PALADIN,70,08/22/17 22:25:53,08/23/17 00:34:45,02:08:52
Silverpala,BloodElf,Team Evolution,3,PALADIN,70,08/22/17 22:25:53,08/23/17 00:34:36,02:08:43
Slindza,Scourge,The Justice League,2,PRIEST,70,08/22/17 22:25:53,08/23/17 00:38:35,02:12:42
Sprintin,Orc,The Justice League,2,WARRIOR,70,08/22/17 22:25:53,08/23/17 00:38:58,02:13:05
Tatsumaru,Orc,The Justice League,2,SHAMAN,70,08/22/17 22:25:53,08/23/17 00:34:31,02:08:38
Teknomagik,Human,Legion of Doom,3,WARLOCK,70,08/22/17 22:25:53,08/23/17 00:35:24,02:09:31
Vardob,Human,Crash,2,PALADIN,70,08/22/17 22:25:53,08/23/17 00:34:55,02:09:02
Vulgros,Scourge,The Justice League,2,WARLOCK,70,08/22/17 22:25:53,08/23/17 00:42:16,02:16:23
Wulpix,Draenei,Crash,3,SHAMAN,70,08/22/17 22:25:53,08/23/17 00:34:50,02:08:57
Xaanna,Draenei,N/A,3,PALADIN,70,08/22/17 22:25:53,08/23/17 00:47:26,02:21:33
Zeake,Tauren,The Justice League,2,DRUID,70,08/22/17 22:25:53,08/23/17 00:47:26,02:21:33
Zuliku,Troll,The Justice League,2,SHAMAN,70,08/23/17 00:00:34,08/23/17 00:35:16,00:34:42
