Name,Race,Guild,Sex,Class,Level,Join,Leave,Duration
Alfi,Draenei,Legion of Doom,2,SHAMAN,70,08/27/17 20:13:04,08/28/17 00:30:30,04:17:26
Bellass,Tauren,N/A,3,DRUID,70,08/27/17 20:25:12,08/28/17 00:25:51,04:00:39
Bigwilly,Draenei,Legion of Doom,3,SHAMAN,70,08/27/17 20:09:26,08/27/17 23:40:06,03:30:40
Caass,Orc,The Justice League,2,WARRIOR,70,08/27/17 20:08:33,08/28/17 00:30:30,04:21:57
Damii,Draenei,Legion of Doom,2,PALADIN,70,08/27/17 20:08:33,08/28/17 00:30:30,04:21:57
Docankh,Troll,Horde Trade Guard,3,SHAMAN,70,08/27/17 20:24:31,08/28/17 00:26:22,04:01:51
Donatelo,Tauren,The Justice League,2,DRUID,70,08/27/17 23:16:55,08/28/17 00:25:11,01:08:16
Doobity,Scourge,N/A,2,WARLOCK,70,08/27/17 23:40:11,08/28/17 00:30:29,00:50:18
Falkiras,NightElf,Illuminations,3,HUNTER,70,08/27/17 21:35:31,08/28/17 00:26:45,02:51:14
Fractal,Human,N/A,3,ROGUE,70,08/27/17 23:50:02,08/27/17 23:50:09,00:00:07
Gahl,Tauren,The Justice League,2,DRUID,70,08/27/17 23:59:28,08/28/17 00:30:30,00:31:02
Gylfen,Orc,Svensk,2,SHAMAN,70,08/27/17 20:28:47,08/28/17 00:25:51,03:57:04
Hurlings,Gnome,N/A,2,MAGE,70,08/27/17 20:45:23,08/28/17 00:30:24,03:45:01
Jidan,Gnome,Confluence,3,WARLOCK,70,08/27/17 21:39:57,08/27/17 23:40:00,02:00:03
Korogg,Orc,The Justice League,2,HUNTER,70,08/27/17 20:23:09,08/28/17 00:24:17,04:01:08
Kuntar,Orc,The Justice League,2,HUNTER,70,08/27/17 20:08:52,08/28/17 00:25:05,04:16:13
Merdee,Human,Legion of Doom,2,PRIEST,70,08/27/17 20:23:41,08/28/17 00:30:19,04:06:38
Palatauren,NightElf,Legion of Doom,3,WARRIOR,70,08/27/17 20:24:47,08/28/17 00:28:34,04:03:47
Public,Orc,Corruption,2,WARLOCK,70,08/27/17 20:34:23,08/28/17 00:30:29,03:56:06
Salrom,Tauren,Horde Expedition,2,DRUID,70,08/27/17 20:37:56,08/28/17 00:25:41,03:47:45
Shug,BloodElf,The Justice League,2,PALADIN,70,08/27/17 20:35:22,08/28/17 00:26:50,03:51:28
Slindza,Scourge,The Justice League,2,PRIEST,70,08/27/17 20:23:58,08/28/17 00:27:09,04:03:11
Sprintin,Orc,The Justice League,2,WARRIOR,70,08/27/17 20:08:47,08/28/17 00:30:30,04:21:43
Teknomagik,Human,Legion of Doom,3,WARLOCK,70,08/27/17 20:15:26,08/28/17 00:29:02,04:13:36
Thrahll,Orc,The Justice League,2,SHAMAN,70,08/27/17 21:44:13,08/28/17 00:30:30,02:46:17
Trivuler,BloodElf,The Justice League,2,PALADIN,70,08/27/17 20:10:52,08/28/17 00:26:50,04:15:58
Vardob,Human,Crash,2,PALADIN,70,08/27/17 20:30:02,08/28/17 00:26:59,03:56:57
Verses,Human,CorruptioN,3,PRIEST,70,08/27/17 20:36:05,08/27/17 23:43:04,03:06:59
Wulpix,Draenei,She Had Me At Lok Tar,3,SHAMAN,70,08/27/17 23:46:51,08/28/17 00:27:31,00:40:40
Zarjay,Troll,The Insomniacs,3,MAGE,70,08/27/17 21:17:52,08/28/17 00:25:32,03:07:40
Zeake,Tauren,The Justice League,2,DRUID,70,08/27/17 20:16:49,08/28/17 00:30:30,04:13:41
